PCB Defect Analysis Log
Timestamp,2025-11-17 23:24:34

=== SUMMARY ===
Quality Status,PASS
Severity Score,100/100
Total Defects Found,29
Average Confidence,33.79%
Area Affected,56.48%
Defect Density,0.0708 per 1000px²
Defect-Free Area,43.524169921875%
Confidence Level,Low
PCB Dimensions,640 × 640 px

=== EXECUTIVE SUMMARY ===
High density of major defects including track breaks and severe pad damage.

=== CONCLUSION ===
"PCB is not suitable for deployment, requires full rework or replacement."

=== DEFECT TYPE DISTRIBUTION ===
Defect Type,Count
Spurious Copper,4
Spur,20
Open Circuit,2
Mouse Bite,3

=== CONFIDENCE DISTRIBUTION ===
Range,Count
0-20%,2
20-40%,19
40-60%,8
60-80%,0
80-100%,0

=== DETAILED DEFECT BREAKDOWN ===
ID,Type,Confidence (%),Area (px²),Severity
#1,Spurious Copper,24.45,391,Medium
#2,Spur,31.2,629,Medium
#3,Spur,46.85,156,Medium
#4,Open Circuit,20.91,1015,Medium
#5,Open Circuit,22.47,858,Medium
#6,Spur,32.78,1794,Medium
#7,Spur,57.42,1122,Medium
#8,Mouse Bite,43.98,24156,Medium
#9,Spurious Copper,21.83,612,Medium
#10,Spur,31.98,3081,Medium
#11,Spur,35.05,1518,Medium
#12,Spur,44.51,1386,Medium
#13,Spur,38.51,2907,Medium
#14,Spur,31.52,8100,Medium
#15,Mouse Bite,27.57,3078,Medium
#16,Mouse Bite,40.98,35682,Medium
#17,Spur,23.23,7018,Medium
#18,Spur,23.9,408,Medium
#19,Spur,51.36,2024,Medium
#20,Spur,49.92,1088,Medium
#21,Spurious Copper,27.66,87822,Medium
#22,Spur,26.63,2624,Medium
#23,Spur,33.09,2058,Medium
#24,Spur,54.57,1156,Medium
#25,Spurious Copper,17.65,425,Medium
#26,Spur,36.21,2970,Medium
#27,Spur,25.55,442,Medium
#28,Spur,38.78,2583,Medium
#29,Spur,19.31,34222,Medium

=== PROCESSING PARAMETERS ===
Threshold,10
Minimum Area,100
Confidence Filter,0.0
