path,class_id
data/processed_rois\class_3\group00041_00041_00041000_0.jpg,3
data/processed_rois\class_2\group00041_00041_00041000_1.jpg,2
data/processed_rois\class_4\group00041_00041_00041000_2.jpg,4
data/processed_rois\class_4\group00041_00041_00041000_3.jpg,4
data/processed_rois\class_5\group00041_00041_00041000_4.jpg,5
data/processed_rois\class_6\group00041_00041_00041000_5.jpg,6
data/processed_rois\class_6\group00041_00041_00041000_6.jpg,6
data/processed_rois\class_6\group00041_00041_00041000_7.jpg,6
data/processed_rois\class_1\group00041_00041_00041000_8.jpg,1
data/processed_rois\class_5\group00041_00041_00041000_9.jpg,5
data/processed_rois\class_1\group00041_00041_00041001_0.jpg,1
data/processed_rois\class_3\group00041_00041_00041001_1.jpg,3
data/processed_rois\class_4\group00041_00041_00041001_2.jpg,4
data/processed_rois\class_5\group00041_00041_00041001_3.jpg,5
data/processed_rois\class_6\group00041_00041_00041001_4.jpg,6
data/processed_rois\class_3\group00041_00041_00041001_5.jpg,3
data/processed_rois\class_2\group00041_00041_00041002_0.jpg,2
data/processed_rois\class_4\group00041_00041_00041002_1.jpg,4
data/processed_rois\class_6\group00041_00041_00041002_2.jpg,6
data/processed_rois\class_6\group00041_00041_00041002_3.jpg,6
data/processed_rois\class_4\group00041_00041_00041002_4.jpg,4
data/processed_rois\class_5\group00041_00041_00041002_5.jpg,5
data/processed_rois\class_6\group00041_00041_00041002_6.jpg,6
data/processed_rois\class_1\group00041_00041_00041003_0.jpg,1
data/processed_rois\class_3\group00041_00041_00041003_1.jpg,3
data/processed_rois\class_3\group00041_00041_00041003_2.jpg,3
data/processed_rois\class_5\group00041_00041_00041003_3.jpg,5
data/processed_rois\class_6\group00041_00041_00041003_4.jpg,6
data/processed_rois\class_6\group00041_00041_00041003_5.jpg,6
data/processed_rois\class_1\group00041_00041_00041004_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041004_1.jpg,2
data/processed_rois\class_4\group00041_00041_00041004_2.jpg,4
data/processed_rois\class_5\group00041_00041_00041004_3.jpg,5
data/processed_rois\class_6\group00041_00041_00041004_4.jpg,6
data/processed_rois\class_4\group00041_00041_00041004_5.jpg,4
data/processed_rois\class_3\group00041_00041_00041004_6.jpg,3
data/processed_rois\class_3\group00041_00041_00041004_7.jpg,3
data/processed_rois\class_1\group00041_00041_00041005_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041005_1.jpg,2
data/processed_rois\class_4\group00041_00041_00041005_2.jpg,4
data/processed_rois\class_6\group00041_00041_00041005_3.jpg,6
data/processed_rois\class_5\group00041_00041_00041005_4.jpg,5
data/processed_rois\class_5\group00041_00041_00041005_5.jpg,5
data/processed_rois\class_6\group00041_00041_00041005_6.jpg,6
data/processed_rois\class_1\group00041_00041_00041005_7.jpg,1
data/processed_rois\class_4\group00041_00041_00041005_8.jpg,4
data/processed_rois\class_1\group00041_00041_00041006_0.jpg,1
data/processed_rois\class_4\group00041_00041_00041006_1.jpg,4
data/processed_rois\class_5\group00041_00041_00041006_2.jpg,5
data/processed_rois\class_6\group00041_00041_00041006_3.jpg,6
data/processed_rois\class_5\group00041_00041_00041006_4.jpg,5
data/processed_rois\class_4\group00041_00041_00041006_5.jpg,4
data/processed_rois\class_4\group00041_00041_00041006_6.jpg,4
data/processed_rois\class_3\group00041_00041_00041006_7.jpg,3
data/processed_rois\class_2\group00041_00041_00041006_8.jpg,2
data/processed_rois\class_1\group00041_00041_00041007_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041007_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041007_2.jpg,3
data/processed_rois\class_3\group00041_00041_00041007_3.jpg,3
data/processed_rois\class_4\group00041_00041_00041007_4.jpg,4
data/processed_rois\class_5\group00041_00041_00041007_5.jpg,5
data/processed_rois\class_5\group00041_00041_00041007_6.jpg,5
data/processed_rois\class_1\group00041_00041_00041007_7.jpg,1
data/processed_rois\class_1\group00041_00041_00041008_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041008_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041008_2.jpg,3
data/processed_rois\class_5\group00041_00041_00041008_3.jpg,5
data/processed_rois\class_6\group00041_00041_00041008_4.jpg,6
data/processed_rois\class_1\group00041_00041_00041009_0.jpg,1
